country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Kyrgyz Republic,13.9229093174176,29.9440526063033,8.96750520041391,1739.79999970559,,94.1910018920898,7.95900011062622,94.0,,26.4,4.055,72.0487804878049,6974900.0
Lao PDR,22.9562225132056,,2.70742652643155,2054.43078086496,87.5199966430664,97.2229995727539,1.39400005340576,76.0,,,1.209,68.999,7529475.0
Latvia,17.3102830198815,72.8935254757134,2.95473177143623,21508.4003332167,,99.41796875,,96.0,,,6.815,74.580487804878,1879383.0
Lebanon,171.205491336641,34.8287792460469,-0.621678970663112,3823.93806860546,,,,67.0,,,11.599,74.416,5489739.0
Lesotho,8.27180389943028,47.2244186111779,1.28550412458897,992.857328462257,82.0100021362305,88.6117782592773,6.43300008773804,81.0,,,16.668,53.036,2305825.0
Liberia,,,4.80810517290655,754.53284857226,,,2.59500002861023,79.0,,,2.99,61.1,5302681.0
Libya,4.51030149235703,68.0912730518424,1.33614809684626,8211.38094790285,,,,73.0,,,19.319,72.151,6812341.0
Liechtenstein,,,,187267.132380803,,,,,,,,84.319512195122,39327.0
Lithuania,19.7050461518394,86.7990151985414,2.44017546498974,25078.7453655669,,,,87.0,7.46,,5.956,75.7926829268293,2831639.0
Luxembourg,6.33600807777919,211.278205574688,1.38018589083207,125006.021815486,,,4.70302200317383,99.0,5.46,,4.585,83.0463414634146,653103.0
"Macao SAR, China",1.04502802369988,86.1276246369981,-21.4019505820285,35192.5278350868,,84.9676666259766,,,,,2.476,85.377,695168.0
Madagascar,8.16059031991844,30.3737702511328,3.79619908930115,516.772196977613,77.4800033569336,138.192001342773,3.13899993896484,44.0,,,3.186,65.23,29611714.0
Malawi,20.953969729969,,0.923449719368733,643.433195658657,68.0800018310547,126.438003540039,,82.0,,,5.051,62.898,20405317.0
Malaysia,3.37869862549928,76.9501497302441,8.65034422372288,11993.1876132994,,97.754997253418,3.50600004196167,96.0,,,3.93,76.26,33938221.0
Maldives,2.33314337624567,,13.9066763800888,11780.8169089988,,,4.58099985122681,98.0,,,4.424,80.839,523787.0
Mali,9.62147608489072,28.993852232951,3.47495171106735,831.223466645115,,,4.03499984741211,70.0,,,3.09,59.417,22593590.0
Malta,6.15375621933037,165.987107779132,8.07553911825327,34563.3966270232,,93.5346603393555,,96.0,,,2.929,82.7,531113.0
Marshall Islands,,46.2726141874507,-0.675525738649768,6225.17922244115,,105.104331970215,6.97757005691528,81.0,,,,65.146,41569.0
Mauritania,9.52526628622843,49.3333018262165,6.38702309577425,2057.38039245817,,,2.28800010681152,72.0,,,10.602,64.691,4736139.0
Mauritius,10.7737512242899,55.3543979803709,8.87988518971193,10239.7970461095,,,4.84420013427734,98.0,,,6.322,73.5146341463415,1262523.0
Mexico,7.8962761916855,42.761030737711,3.94899999903839,11476.6788057764,,102.004783630371,,86.0,,43.5,3.256,74.832,127504125.0
"Micronesia, Fed. Sts.",5.40874375479067,21.0385813953488,-0.778210116731515,3766.51133457132,,91.5279998779297,,69.0,,,,70.925,114164.0
Moldova,28.7372976766235,41.2404935723512,-5.01548231924089,5715.28022054154,,106.542778015137,6.14757013320923,84.0,,,0.909,68.621,2538894.0
Monaco,,,11.0968262747971,240862.18244774,,,,88.0,,,,,36469.0
Mongolia,15.1479560897226,65.0613511558615,5.0327096366527,5045.50472602069,,95.5630035400391,4.25799989700317,94.0,,31.4,6.211,72.667,3398366.0
Montenegro,13.0403036347004,51.5328616489687,6.40668032879275,10093.4387007266,,100.693969726562,,33.0,,,15.288,76.1878048780488,617213.0
Morocco,6.65704202759067,44.8096391556492,1.25854398420971,3441.99145507813,77.3499984741211,114.169990539551,5.76800012588501,99.0,,,9.53,74.973,37457971.0
Mozambique,10.2794018093421,52.5438275653088,4.35980020115213,558.298592504349,,121.177581787109,,84.0,,,3.621,59.625,32969518.0
Myanmar,,,4.0374934360085,1149.01896107058,,,,75.0,,,2.83,67.256,54179306.0
Namibia,6.08128114112413,40.3451238393858,5.34966408559102,4895.68066089139,,132.985992431641,9.67800045013428,91.0,,,19.748,58.059,2567012.0
Nauru,,54.7169811320755,2.15827338129438,12142.769929785,,94.9424133300781,8.32600021362305,98.0,,,,64.014,12668.0
Nepal,7.6507917679853,6.70239086588436,5.63131455871746,1348.15718956035,,118.804000854492,3.6489999294281,90.0,,30.0,10.922,70.484,30547580.0
Netherlands,10.0012078753473,93.752223412679,4.32891831787197,57025.01245598,,,,89.0,,,3.524,81.7146341463415,17700982.0
New Caledonia,,,3.49999999631376,35745.8489248912,,,,,,,11.291,80.9820731707317,269215.0
New Zealand,7.17222476016441,24.3948255658574,2.7748426484212,48216.5095836302,,,5.50567865371704,90.0,,,3.297,82.7609756097561,5117200.0
Nicaragua,10.4674244465991,49.8468202738711,3.75228475736668,2252.31020571776,,,,93.0,,,4.978,74.615,6948392.0
Niger,4.22621791916393,8.52377989130102,11.9000000000277,588.899048266729,38.0999984741211,68.331413269043,4.10099983215332,65.0,,,0.552,62.08,26207977.0
Nigeria,18.8471877843274,,3.25168140827093,2162.6337321033,,,,60.0,,,3.827,53.633,218541212.0
North Macedonia,14.2047173195833,73.958370946073,2.22170527084103,7485.6034579418,,91.3753128051758,,71.0,,,14.477,74.4248780487805,1831712.0
Northern Mariana Islands,,,,,,,,,,,,,49551.0
Norway,5.76412317852272,55.4600670265005,3.00563516076298,108798.451165901,,,3.97000002861023,96.0,8.14,,3.233,82.5609756097561,5457127.0
Oman,2.5061425061425,,4.31125350906991,25056.7948608378,97.3390579223633,90.096809387207,4.19907999038696,97.0,,,1.514,73.935,4576298.0
Pakistan,19.8738599646655,10.5434684064956,4.767539530847,1589.26398049714,,,,82.0,,,5.548,66.431,235824862.0
Palau,12.3526638378124,14.1997472292118,-0.362288565445908,13421.9722911546,,,,96.0,,,,,18055.0
Panama,2.85965128834711,47.9213464996077,10.8093661181786,17357.6286293985,,101.456001281738,3.88700008392334,92.0,,,8.202,76.826,4408581.0
Papua New Guinea,5.25323922215241,,5.16505132632446,3115.92292253449,,,,44.0,,,2.689,65.958,10142619.0
Paraguay,9.76556667164402,34.3693845850532,0.176038366132886,6187.0660296399,,93.2309494018555,3.41496992111206,54.0,,45.1,6.755,70.475,6780744.0
Peru,8.33370630096231,28.9044343292124,2.72550021563363,7239.11131130898,,107.663269042969,3.89409995079041,74.0,,40.3,3.85,73.385,34049588.0
Philippines,5.82115811213955,28.3874015457939,7.58098212785563,3499.10727950801,,91.8720016479492,3.57999992370605,69.0,5.1,,2.598,72.187,115559009.0
Poland,14.4294507575758,62.8791875108544,5.63756676578897,18732.4977273198,,100.108032226562,,71.0,6.68,,2.886,77.3048780487805,36821749.0
Portugal,7.83269124233323,49.5989684939982,6.82751087594069,24515.2657495716,,,,98.0,10.62,,6.011,81.5804878048781,10409704.0
Puerto Rico,,52.5807627554435,3.56811024720668,35268.0791015719,,,,,,,6.0,79.72,3220113.0
Qatar,4.99527553740761,68.5806422610466,4.20887124812552,87480.4197119462,,,,99.0,,,0.13,81.559,2695122.0
Romania,13.7954887432521,43.2737567768803,4.10702720241547,15692.3071700143,,,,83.0,,,5.614,75.3048780487805,19047009.0
Russian Federation,,28.0257191670312,-2.06971152527731,15445.2421875,,101.949310302734,,97.0,,,3.867,72.5456097560976,144236933.0
Rwanda,17.6892095588154,22.4780610085416,8.15773440296567,966.571293318523,78.76318359375,134.93034362793,4.75224018096924,96.0,,,15.085,67.129,13776698.0
Samoa,10.9618822286844,12.2663826209512,-5.30629089966979,3745.56036746313,,104.123001098633,,82.0,,,9.923,72.598,222382.0
San Marino,,,,,99.9147567749023,97.7879028320312,,91.0,,,,,33660.0
Sao Tome and Principe,18.0056351122841,,0.0652824380846795,2386.6961758184,93.75,,5.1560001373291,77.0,,,14.115,68.794,227380.0
Saudi Arabia,2.4740737192537,40.221276968341,7.48598429134137,30447.8823171601,,102.705947875977,,98.0,,,5.589,77.905,36408820.0
Senegal,9.69681899081073,26.857557599241,3.82185605131144,1594.98515311153,57.6699981689453,83.2787017822266,5.64099979400635,80.0,,,2.968,67.913,17316449.0
Serbia,11.9815117344703,63.8403524940413,2.54995557013696,9537.68431879504,,89.1468811035156,,81.0,,,8.684,75.4821951219512,6664449.0
Seychelles,2.6260363285129,88.3864980757065,14.9768513322959,17167.1909760833,,97.6453704833984,4.73999977111816,98.0,,,,73.8487804878049,119878.0
Sierra Leone,27.2082883814653,31.8781619986439,3.45753985565149,475.795727844622,48.6399993896484,,8.8063497543335,90.0,,,3.194,60.411,8605718.0
Singapore,6.12106004039418,185.757032866998,3.83807678519807,88428.7024226232,,,2.38899993896484,96.0,,,3.591,82.8951219512195,5637022.0
Sint Maarten (Dutch part),,,9.80000111145777,37592.6608071757,,,,,,,,74.409,40888.0
Slovak Republic,12.7741463637611,99.2974035881884,1.87003619871018,21279.4589247729,,100.326721191406,,95.0,,,6.143,77.0658536585366,5431752.0
Slovenia,8.83369886749452,94.1460703633174,2.46078331366104,28439.3340989687,,100.639137268066,,96.0,8.85,,4.013,81.2829268292683,2111986.0
Solomon Islands,5.51812928576938,26.2867431210615,2.40248143622522,2162.6661301834,,,,90.0,,,1.579,70.742,724273.0
Somalia,,17.3140444959166,2.43806527721611,592.103121972141,41.0250015258789,,,46.0,,,19.128,56.107,17597511.0
South Africa,7.03972661255866,33.5384457909833,1.91040617007184,6766.48125428394,,,6.18347978591919,86.0,,,28.838,61.48,59893885.0
South Sudan,-6.68732094212672,,,,,,,72.0,,,12.395,55.567,10913164.0
Spain,8.39057634118627,40.8740642479781,5.77064767618052,29674.5442864413,,,,96.0,,,12.917,83.0829268292683,47778340.0
Sri Lanka,49.7211021114327,21.5590215424198,-7.34676438378833,3342.72012524497,92.4924087524414,,1.20000004768372,99.0,,,6.33,76.61,22181000.0
St. Kitts and Nevis,2.66817533111249,,10.5228492759939,20593.609115757,,,3.63100004196167,95.0,,,,72.027,47657.0
St. Lucia,6.37814695133351,,18.07538,13030.9289500727,,103.664779663086,4.19757986068726,81.0,,,15.934,71.294,179857.0
St. Martin (French part),,,,,,,,,,,,80.55,31791.0
St. Vincent and the Grenadines,5.66009779226552,,7.1598328657349,9297.84692916259,,110.58699798584,,96.0,,,19.51,68.972,103948.0
Sudan,138.80846024176,1.57116183055586,-0.957816591119183,1102.24536132813,,,,81.0,,,7.53,65.578,46874204.0
Suriname,52.446027276241,,2.43372370900539,5858.82466074423,,,,74.0,,39.2,8.232,70.289,618040.0
Sweden,8.36929098869189,52.8615597522319,2.66319953969133,56299.5057328064,,116.425392150879,,92.0,10.67,,7.392,83.109756097561,10486941.0
Switzerland,2.83502798644463,76.9356153921115,2.56832817834069,93259.9057183024,,101.363067626953,,96.0,,,4.3,83.4536585365854,8775760.0
Syrian Arab Republic,,,,,,74.367431640625,,41.0,,26.6,13.813,72.3,22125249.0
Tajikistan,,16.3531240454317,8.00000033846364,1076.43469114729,,,5.44700002670288,98.0,,,6.981,71.288,9952787.0
Tanzania,4.35027204269101,15.4137105201683,4.56600576430955,1193.35961914063,82.0199966430664,95.504997253418,3.23799991607666,86.0,,,2.609,66.782,65497748.0
Thailand,6.07741228434321,65.3629024949052,2.46276934050356,6913.05080521119,,101.58699798584,2.61299991607666,96.0,,,0.94,79.68,71697030.0
Timor-Leste,,55.6787059720359,-20.5415867731785,2389.2958750343,,,,79.0,,,1.537,69.056,1341296.0
Togo,7.96757361617945,25.5991710804409,5.75954251521733,923.240371150258,,122.478256225586,3.79800009727478,71.0,,,2.065,61.588,8848699.0
Tonga,10.9713652903022,,-2.0115205630506,4681.67940711244,,109.861000061035,5.64599990844727,99.0,,,2.354,71.27,106858.0
Trinidad and Tobago,5.82838638517959,,1.48223484044745,19629.4653400829,,,2.88000011444092,92.0,,,4.383,74.708,1531044.0
Tunisia,8.30646124447623,51.4297149817542,2.6039605888686,3607.91023773078,,103.912643432617,,95.0,,,15.301,74.263,12356117.0
Turkiye,72.3088359891207,38.5842021257178,5.53346926596379,10674.5041731531,,,2.61520981788635,95.0,,,10.432,78.475,84979913.0
Turkmenistan,,25.9450985346134,6.20000000000003,8792.5485039672,,110.284736633301,,98.0,,,4.121,69.41,6430770.0
Turks and Caicos Islands,,,6.19999948551563,26886.514735383,,122.33812713623,3.28576993942261,,,,,74.925,45703.0
Tuvalu,,,0.677309361438304,5221.53306995807,,98.4408187866211,,90.0,,,,64.854,11312.0
Uganda,7.1957888597581,12.0219954333331,4.58802192181773,964.354146526666,80.5899963378906,,2.56100010871887,90.0,,,2.93,63.638,47249585.0
Ukraine,20.1836366617478,35.4451153382041,-28.7585905937644,4575.97509765625,,92.7710037231445,5.93389987945557,74.0,,,,68.5879268292683,38000000.0
United Arab Emirates,4.82788859594475,,7.85041812278786,53707.9800813801,98.2854080200195,,,98.0,,,2.873,79.196,9441129.0
United Kingdom,7.92204883147902,33.4304609651869,4.34522883436574,45564.1569448013,,98.5245819091797,,90.0,11.34454918,,3.73,82.0585365853659,67791000.0
United States,8.00279982052121,11.6339086209551,1.93549589483209,77246.6738828672,,96.9717330932617,5.44000005722046,92.0,16.57115173,41.3,3.65,77.4341463414634,333271411.0
Uruguay,9.10437983075437,31.9521648717584,4.70725761465232,20499.2422244452,,105.501998901367,4.36999988555908,96.0,,40.6,7.877,78.0,3422794.0
Uzbekistan,11.4466436998834,27.0175958921407,5.66881705491629,2276.16123306477,99.9999771118164,94.1940002441406,5.28399991989136,99.0,,31.2,4.535,71.674,35648100.0
Vanuatu,6.67930581887121,15.3048330605426,1.9160570121628,3128.54042205837,,110.521003723145,,70.0,,,5.171,70.492,326740.0
"Venezuela, RB",,,,,97.5999984741211,,,68.0,,,5.747,71.105,28301696.0
Viet Nam,3.15650749963129,93.8116384550336,8.12351446767343,4179.01179036963,96.1332626342773,123.134002685547,2.89800000190735,88.0,,36.1,1.535,74.58,98186856.0
Virgin Islands (U.S.),,,,,,,,,,,12.669,80.319512195122,105413.0
West Bank and Gaza,3.74122391852077,18.4362526414651,4.08276027347105,3799.95527015163,97.8438415527344,91.7645874023438,,97.0,,,24.42,73.444,5043612.0
"Yemen, Rep.",,,,698.850349965249,,,,73.0,,,17.515,63.72,33696614.0
Zambia,10.9932039209136,40.1939977114306,5.24962232294098,1456.90157026157,,,3.58299994468689,90.0,,51.5,5.993,61.803,20017675.0
Zimbabwe,104.705170628667,27.955245771004,6.52237533035446,1676.82148896788,89.8499984741211,95.7900009155273,,90.0,,,10.087,59.391,16320537.0
